,amount,date,description,reference,source
BANK000001,32007.4,1/13/2024,Payment to Digital Agency,CHK39256,bank
BANK000002,7062.94,2/22/2024,Payment to Software House,CHK81482,bank
BANK000003,4438.25,8/4/2024,Payment to ABC Inc,,bank
BANK000004,11010.03,9/15/2024,Payment to Cloud Services,,bank
BANK000005,10022,11/28/2024,Payment to Digital Agency,CHK38893,bank
BANK000006,22515.53,5/22/2024,Payment to Business Tools,CHK30926,bank
BANK000007,34937.16,6/23/2024,Payment to Tech Solutions,CHK54118,bank
BANK000008,5200.29,7/13/2024,Payment to XYZ Corp,CHK55082,bank
BANK000009,30225.93,1/23/2024,Payment to Digital Agency,CHK26361,bank
BANK000010,48658.48,7/12/2024,Payment to XYZ Corp,CHK92397,bank
BANK000011,30964.14,7/4/2024,Payment to Cloud Services,CHK19116,bank
BANK000012,2386.64,4/26/2024,Payment to Business Tools,CHK20458,bank
BANK000013,42780.35,2/21/2024,Payment to Audit Solutions,CHK93320,bank
BANK000014,41722.11,3/24/2024,Payment to Finance Partners,CHK97841,bank
BANK000015,13422.19,12/15/2024,Payment to Software House,,bank
BANK000016,31785.42,9/30/2024,Payment to Digital Agency,CHK70589,bank
BANK000017,19034.83,11/23/2024,Payment to Digital Agency,CHK99733,bank
BANK000018,16281.71,1/29/2024,Payment to Global Services,CHK51347,bank
BANK000019,20118.12,2/3/2024,Payment to Global Services,CHK84341,bank
BANK000020,43830.74,6/10/2024,Payment to Global Services,CHK61856,bank
BANK000021,44245.69,11/25/2024,Payment to Consulting Group,CHK28301,bank
BANK000022,12406.71,10/14/2024,Payment to Data Systems,CHK86622,bank
BANK000023,21478.85,10/25/2024,Payment to Audit Solutions,CHK28131,bank
BANK000024,25525.36,2/16/2024,Payment to Business Tools,,bank
BANK000025,5571.49,11/17/2024,Payment to Smith & Co,CHK65333,bank
BANK000026,29860.81,7/16/2024,Payment to Audit Solutions,CHK71348,bank
BANK000027,26502.81,10/10/2024,Payment to ABC Inc,CHK25014,bank
BANK000028,34117.35,10/1/2024,Payment to Business Tools,CHK94012,bank
BANK000029,17074.76,5/30/2024,Payment to Audit Solutions,CHK10425,bank
BANK000030,47695.41,5/14/2024,Payment to Data Systems,CHK76542,bank
